launch_position,observation_id,phase,attempt_id,requested_output_tokens,api_max_output_tokens,custom_id,seed
0,prod-t10000-k0376,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
1,prod-t00100-k0092,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
2,prod-t01000-k0399,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
3,prod-t00100-k0203,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
4,prod-t00100-k0351,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
5,prod-t01000-k0241,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
6,prod-t00016-k0285,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
7,prod-t01000-k0320,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
8,prod-t03000-k0052,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
9,prod-t00100-k0233,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
10,prod-t10000-k0310,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
11,prod-t01000-k0353,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
12,prod-t03000-k0083,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
13,prod-t00016-k0175,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
14,prod-t00016-k0103,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
15,prod-t10000-k0234,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
16,prod-t00016-k0105,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
17,prod-t03000-k0233,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
18,prod-t00100-k0072,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
19,prod-t00016-k0248,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
20,prod-t00100-k0177,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
21,prod-t03000-k0321,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
22,prod-t01000-k0030,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
23,prod-t10000-k0155,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
24,prod-t01000-k0061,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
25,prod-t10000-k0390,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
26,prod-t00016-k0070,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
27,prod-t00016-k0354,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
28,prod-t10000-k0157,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
29,prod-t03000-k0064,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
30,prod-t10000-k0173,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
31,prod-t01000-k0293,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
32,prod-t00100-k0224,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
