dataset,requested_output_tokens,label,submitted,created,creation_failed,completed,failed,expired,cancelled,valid,n_replacement,early_stops,early_stop_known,early_stop_rate,failure_rate,actual_output_tokens_mean,actual_output_tokens_median,ratio_actual_requested_mean,ratio_actual_requested_median,reasoning_tokens_mean,cost_usd,other_status,turnaround_n,turnaround_mean,turnaround_sd,turnaround_min,turnaround_p10,turnaround_p25,turnaround_median,turnaround_p75,turnaround_p90,turnaround_p95,turnaround_p99,turnaround_max,turnaround_median_ci_low,turnaround_median_ci_high,turnaround_p95_ci_low,turnaround_p95_ci_high,queue_n,queue_mean,queue_sd,queue_min,queue_p10,queue_p25,queue_median,queue_p75,queue_p90,queue_p95,queue_p99,queue_max,queue_median_ci_low,queue_median_ci_high,queue_p95_ci_low,queue_p95_ci_high,active_n,active_mean,active_sd,active_min,active_p10,active_p25,active_median,active_p75,active_p90,active_p95,active_p99,active_max,active_median_ci_low,active_median_ci_high,active_p95_ci_low,active_p95_ci_high
main,16,16 tokens,400,400,0,400,0,0,0,400,0,0,400,0.0,0.0,16.0,16.0,1.0,1.0,16.0,0.005639999999999999,0,400,15782.5575,15592.865858491054,8.0,72.80000000000001,168.5,26360.5,34892.0,35074.0,35154.25,35245.01,35354.0,362.0,26427.5375,35129.0,35216.75,400,9.0925,20.050661243229033,1.0,1.0,1.0,2.0,2.0,61.0,61.0,62.0,94.0,2.0,2.0,61.0,61.0,400,15773.465,15589.250210291471,5.0,66.0,161.75,26359.5,34891.0,35054.1,35145.0,35243.01,35293.0,359.5,26405.0,35094.0,35218.0
main,100,100 tokens,400,400,0,400,0,0,0,400,0,0,400,0.0,0.0,99.75,100.0,0.9975,1.0,37.1175,0.025735499999999998,0,400,16075.08,15900.122007179945,11.0,105.9,191.25,26371.0,34915.25,35056.4,35155.1,35220.12,35277.0,428.975,26446.0,35128.0,35170.25375,400,11.565,22.744649319822546,1.0,1.0,1.0,2.0,2.0,61.0,61.0,62.0,122.0,2.0,2.0,61.0,62.0,400,16063.515,15897.902666949325,8.0,88.20000000000005,167.5,26361.0,34913.5,35049.5,35117.0,35218.12,35275.0,414.0,26431.0125,35093.1,35145.0
main,1000,"1,000 tokens",400,400,0,400,0,0,0,398,0,26,398,0.06532663316582915,0.0,959.6457286432161,1000.0,0.9596457286432162,1.0,37.19346733668342,0.2309544,0,398,14823.298994974873,15497.679382747187,29.0,107.7,173.5,452.5,26765.25,35055.0,35147.15,35232.21,35277.0,349.0,26392.5,35088.15,35170.75,398,10.195979899497488,21.336025374007694,1.0,1.0,1.0,2.0,2.0,61.0,61.0,62.0,121.0,2.0,2.0,61.0,62.0,398,14813.103015075378,15495.046766764615,23.0,95.0,167.0,450.0,26761.0,35026.3,35107.15,35230.24,35275.0,338.5,26382.5,35059.9,35131.55
main,3000,"3,000 tokens",400,400,0,400,0,0,0,399,0,35,399,0.08771929824561403,0.0,2799.37343358396,3000.0,0.9331244778613201,1.0,37.78195488721804,0.6719655000000001,0,399,14317.315789473685,15361.277080805903,16.0,111.80000000000001,172.0,428.0,26661.0,35057.4,35150.0,35278.0,35354.0,335.0,26405.0,35091.5,35170.5,399,10.24812030075188,21.503677147873194,1.0,1.0,1.0,2.0,2.0,61.0,61.0,62.0,122.0,2.0,2.0,61.0,62.0,399,14307.067669172933,15356.57831748458,15.0,90.60000000000001,162.0,427.0,26659.0,35031.4,35094.2,35250.52,35293.0,334.0,26386.0,35078.2,35129.8
main,10000,"10,000 tokens",400,400,0,400,0,0,0,399,0,54,399,0.13533834586466165,0.0,8913.115288220552,10000.0,0.8913115288220552,1.0,38.045112781954884,2.1355953000000003,0,399,14855.408521303258,15418.559974246125,70.0,157.0,227.5,999.0,26776.0,35151.6,35195.7,35269.18,35353.0,411.0,26479.0,35166.4,35229.2,399,10.165413533834586,21.213267555206127,1.0,1.0,1.0,2.0,2.0,61.0,62.0,62.0,121.0,2.0,2.0,61.0,62.0,399,14845.243107769424,15414.749654082498,68.0,154.0,221.5,997.0,26759.0,35113.8,35175.9,35242.16,35292.0,404.0,26469.0,35131.6,35219.1
pilot,1,1 tokens,1,1,0,1,0,0,0,0,0,0,0,,0.0,,,,,,0.0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
pilot,10,10 tokens,2,2,0,2,0,0,0,0,0,0,0,,0.0,,,,,,0.0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
pilot,16,16 tokens,2,2,0,2,0,0,0,2,0,0,2,0.0,0.0,16.0,16.0,1.0,1.0,16.0,2.82e-05,0,2,14197.0,19996.979771955565,57.0,2885.0,7127.0,14197.0,21267.0,25509.0,26923.0,28054.2,28337.0,57.0,28337.0,57.0,28337.0,2,2.0,1.4142135623730951,1.0,1.2,1.5,2.0,2.5,2.8,2.9,2.98,3.0,1.0,3.0,1.0,3.0,2,14195.0,19998.393985517938,54.0,2882.2000000000003,7124.5,14195.0,21265.5,25507.8,26921.899999999998,28053.18,28336.0,54.0,28336.0,54.0,28336.0
pilot,100,100 tokens,1,1,0,1,0,0,0,1,0,0,1,0.0,0.0,100.0,100.0,1.0,1.0,54.0,6.45e-05,0,1,19531.0,,19531.0,19531.0,19531.0,19531.0,19531.0,19531.0,19531.0,19531.0,19531.0,,,,,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1,19530.0,,19530.0,19530.0,19530.0,19530.0,19530.0,19530.0,19530.0,19530.0,19530.0,,,,
pilot,1000,"1,000 tokens",1,1,0,1,0,0,0,1,0,0,1,0.0,0.0,1000.0,1000.0,1.0,1.0,35.0,0.0006045,0,1,19365.0,,19365.0,19365.0,19365.0,19365.0,19365.0,19365.0,19365.0,19365.0,19365.0,,,,,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1,19364.0,,19364.0,19364.0,19364.0,19364.0,19364.0,19364.0,19364.0,19364.0,19364.0,,,,
pilot,3000,"3,000 tokens",1,1,0,1,0,0,0,1,0,1,1,1.0,0.0,132.0,132.0,0.044,0.044,32.0,8.37e-05,0,1,22.0,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,1,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,1,19.0,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,
pilot,10000,"10,000 tokens",1,1,0,1,0,0,0,1,0,0,1,0.0,0.0,10000.0,10000.0,1.0,1.0,85.0,0.0060045,0,1,19453.0,,19453.0,19453.0,19453.0,19453.0,19453.0,19453.0,19453.0,19453.0,19453.0,,,,,1,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,1,19451.0,,19451.0,19451.0,19451.0,19451.0,19451.0,19451.0,19451.0,19451.0,19451.0,,,,
